file_path,file_name,actor_id,gender,emotion_code,emotion,intensity,statement,repetition
data/raw/ravdess/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,1,male,01,neutral,normal,1,1
data/raw/ravdess/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,1,male,01,neutral,normal,1,2
data/raw/ravdess/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,1,male,01,neutral,normal,2,1
data/raw/ravdess/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,1,male,01,neutral,normal,2,2
data/raw/ravdess/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,1,male,02,calm,normal,1,1
data/raw/ravdess/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,1,male,02,calm,normal,1,2
data/raw/ravdess/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,1,male,02,calm,normal,2,1
data/raw/ravdess/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,1,male,02,calm,normal,2,2
data/raw/ravdess/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,1,male,02,calm,strong,1,1
data/raw/ravdess/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,1,male,02,calm,strong,1,2
data/raw/ravdess/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,1,male,02,calm,strong,2,1
data/raw/ravdess/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,1,male,02,calm,strong,2,2
data/raw/ravdess/Actor_01/03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,1,male,03,happy,normal,1,1
data/raw/ravdess/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,1,male,03,happy,normal,1,2
data/raw/ravdess/Actor_01/03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,1,male,03,happy,normal,2,1
data/raw/ravdess/Actor_01/03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,1,male,03,happy,normal,2,2
data/raw/ravdess/Actor_01/03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,1,male,03,happy,strong,1,1
