file_path,file_name,actor_id,gender,emotion_code,emotion,intensity,statement,repetition,split,label_id,feature_path
data/raw/ravdess/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,1,male,1,neutral,normal,1,1,train,0,data/processed/log_mel/03-01-01-01-01-01-01.npy
data/raw/ravdess/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,1,male,1,neutral,normal,1,2,train,0,data/processed/log_mel/03-01-01-01-01-02-01.npy
data/raw/ravdess/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,1,male,1,neutral,normal,2,1,train,0,data/processed/log_mel/03-01-01-01-02-01-01.npy
data/raw/ravdess/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,1,male,1,neutral,normal,2,2,train,0,data/processed/log_mel/03-01-01-01-02-02-01.npy
data/raw/ravdess/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,1,male,2,calm,normal,1,1,train,1,data/processed/log_mel/03-01-02-01-01-01-01.npy
data/raw/ravdess/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,1,male,2,calm,normal,1,2,train,1,data/processed/log_mel/03-01-02-01-01-02-01.npy
data/raw/ravdess/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,1,male,2,calm,normal,2,1,train,1,data/processed/log_mel/03-01-02-01-02-01-01.npy
data/raw/ravdess/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,1,male,2,calm,normal,2,2,train,1,data/processed/log_mel/03-01-02-01-02-02-01.npy
data/raw/ravdess/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,1,male,2,calm,strong,1,1,train,1,data/processed/log_mel/03-01-02-02-01-01-01.npy
data/raw/ravdess/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,1,male,2,calm,strong,1,2,train,1,data/processed/log_mel/03-01-02-02-01-02-01.npy
data/raw/ravdess/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,1,male,2,calm,strong,2,1,train,1,data/processed/log_mel/03-01-02-02-02-01-01.npy
data/raw/ravdess/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,1,male,2,calm,strong,2,2,train,1,data/processed/log_mel/03-01-02-02-02-02-01.npy
data/raw/ravdess/Actor_01/03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,1,male,3,happy,normal,1,1,train,2,data/processed/log_mel/03-01-03-01-01-01-01.npy
data/raw/ravdess/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,1,male,3,happy,normal,1,2,train,2,data/processed/log_mel/03-01-03-01-01-02-01.npy
data/raw/ravdess/Actor_01/03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,1,male,3,happy,normal,2,1,train,2,data/processed/log_mel/03-01-03-01-02-01-01.npy
data/raw/ravdess/Actor_01/03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,1,male,3,happy,normal,2,2,train,2,data/processed/log_mel/03-01-03-01-02-02-01.npy
